ShapeId,Type,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tanAlpha,Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS9X5X.250,HSS,22.42,6.17,0,9.00,8.30,0,0,5.00,4.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,66.1,18.1,14.7,3.27,26.6,12,10.6,2.08,0,0,0,61.2,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X5X.188,HSS,17.08,4.67,0,9.00,8.48,0,0,5.00,4.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,51.1,13.8,11.4,3.31,20.7,9.25,8.28,2.1,0,0,0,46.9,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X3X.500,HSS,35.24,9.74,0,9.00,7.60,0,0,3.00,1.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,80.8,24.6,18,2.88,13.2,10.8,8.81,1.17,0,0,0,40.0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X3X.375,HSS,27.48,7.58,0,9.00,7.95,0,0,3.00,1.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,66.3,19.7,14.7,2.96,11.2,8.8,7.45,1.21,0,0,0,33.1,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X3X.313,HSS,23.34,6.43,0,9.00,8.13,0,0,3.00,2.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,57.7,16.9,12.8,3,9.88,7.63,6.59,1.24,0,0,0,28.9,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X3X.250,HSS,19.02,5.24,0,9.00,8.30,0,0,3.00,2.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,48.2,14,10.7,3.04,8.38,6.35,5.59,1.27,0,0,0,24.2,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X3X.188,HSS,14.53,3.98,0,9.00,8.48,0,0,3.00,2.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,37.6,10.8,8.35,3.07,6.64,4.92,4.42,1.29,0,0,0,18.9,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.625,HSS,59.32,16.4,0,8.00,6.26,0,0,8.00,6.26,0,0,0,0,0.625,0.581,0,0,0,0,0,0,146,44.7,36.5,2.99,146,44.7,36.5,2.99,0,0,0,244,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.500,HSS,48.85,13.5,0,8.00,6.60,0,0,8.00,6.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,125,37.5,31.2,3.04,125,37.5,31.2,3.04,0,0,0,204,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.375,HSS,37.69,10.4,0,8.00,6.95,0,0,8.00,6.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,100,29.4,24.9,3.1,100,29.4,24.9,3.1,0,0,0,160,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.313,HSS,31.84,8.76,0,8.00,7.13,0,0,8.00,7.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,85.6,25.1,21.4,3.13,85.6,25.1,21.4,3.13,0,0,0,136,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.250,HSS,25.82,7.10,0,8.00,7.30,0,0,8.00,7.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,70.7,20.5,17.7,3.15,70.7,20.5,17.7,3.15,0,0,0,111,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.188,HSS,19.63,5.37,0,8.00,7.48,0,0,8.00,7.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,54.4,15.7,13.6,3.18,54.4,15.7,13.6,3.18,0,0,0,84.5,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X8X.125,HSS,13.26,3.62,0,8.00,7.65,0,0,8.00,7.65,0,0,0,0,0.125,0.116,0,0,0,0,0,0,37.4,10.7,9.34,3.21,37.4,10.7,9.34,3.21,0,0,0,57.3,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.625,HSS,50.81,14.0,0,8.00,6.26,0,0,6.00,4.26,0,0,0,0,0.625,0.581,0,0,0,0,0,0,114,36.1,28.5,2.85,72.3,29.5,24.1,2.27,0,0,0,150,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.500,HSS,42.05,11.6,0,8.00,6.60,0,0,6.00,4.61,0,0,0,0,0.500,0.465,0,0,0,0,0,0,98.2,30.5,24.6,2.91,62.5,24.9,20.8,2.32,0,0,0,127,0,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.375,HSS,32.58,8.97,0,8.00,6.95,0,0,6.00,4.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,79.1,24.1,19.8,2.97,50.6,19.8,16.9,2.38,0,0,0,100,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.313,HSS,27.59,7.59,0,8.00,7.13,0,0,6.00,5.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,68.3,20.6,17.1,3,43.8,16.9,14.6,2.4,0,0,0,85.8,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.250,HSS,22.42,6.17,0,8.00,7.30,0,0,6.00,5.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,56.6,16.9,14.2,3.03,36.4,13.9,12.1,2.43,0,0,0,70.3,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X6X.188,HSS,17.08,4.67,0,8.00,7.48,0,0,6.00,5.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,43.7,13,10.9,3.06,28.2,10.7,9.39,2.46,0,0,0,53.7,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.625,HSS,42.3,11.7,0,8.00,6.26,0,0,4.00,2.26,0,0,0,0,0.625,0.581,0,0,0,0,0,0,82,27.4,20.5,2.64,26.6,16.6,13.3,1.51,0,0,0,70.3,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.500,HSS,35.24,9.74,0,8.00,6.60,0,0,4.00,2.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,71.8,23.5,17.9,2.71,23.6,14.3,11.8,1.56,0,0,0,61.1,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.375,HSS,27.48,7.58,0,8.00,6.95,0,0,4.00,2.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,58.7,18.8,14.7,2.78,19.6,11.5,9.8,1.61,0,0,0,49.3,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.313,HSS,23.34,6.43,0,8.00,7.13,0,0,4.00,3.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,51,16.1,12.8,2.82,17.2,9.91,8.58,1.63,0,0,0,42.6,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS8X4X.250,HSS,19.02,5.24,0,8.00,7.30,0,0,4.00,3.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,42.5,13.3,10.6,2.85,14.4,8.2,7.21,1.66,0,0,0,35.3,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
